up	0
0:00	TIME
18:30	TIME
21:45-23:15	TIME
14-15	TIME
07:15-09:15	TIME
11:00pm-Midnight	TIME
today	LOCATION
(Thursday)	DATE
3:45-5:30am	TIME
06:00-08:00	TIME
Circ 	LOCATION
4-8pm 	TIME
if	0
orozco 	LOCATION
0:00	DATE
09:45 p.m. - 11:15 p.m.	TIME
3-4	TIME
CiRC	LOCATION
12-2pm	TIME
3:45-5:30am	TIME
10a-12pm 	TIME
03:00 to 04:00	TIME
Thursday 	DATE
3:00-4:00am	TIME
4:00-5:00am	TIME
JMC	LOCATION
OroZCO	LOCATION
12-2am	TIME
not 	0
20-21	TIME
tonight	TIME
0:00	TIME
afternoon	TIME
09:45 a.m. - 10:15 a.m.	TIME
12-2pm	TIME
09:45-10:15	TIME
Circ	LOCATION
tomorrow 	DATE
wondering	0
06-08	TIME
BakER	LOCATION
1-2	TIME
be	0
06:00-08:00	TIME
12:00 a.m. - 02:00 a.m.	TIME
9-10	TIME
03:00 - 04:00	TIME
10-11	TIME
orozco 	LOCATION
9:00-10:00am	TIME
baker	LOCATION
am	0
1-2	TIME
12:00-1:00pm	TIME
12-4 pm	TIME
to	0
the	0
tn	DATE
01:30 PM - 15:30 PM	TIME
shift	0
orozco	LOCATION
15-16	TIME
0:00	TIME
tomorrow	DATE
BAKER	LOCATION
10:00 AM - 12:00 PM	TIME
Midnight-1:00am	TIME
sub	0
tomorrow	DATE
2-4pm	TIME
1:00-2:00pm	TIME
be	0
15:15-16:45	TIME
1:00-2:00am	TIME
All	0
jMC	LOCATION
for	0
jMC	LOCATION
JONES	LOCATION
jmc	LOCATION
6-8pm 	TIME
14:30-16:30	TIME
7-8	TIME
06:00 AM - 08:00 AM	TIME
until	0
9:00-10:00pm	TIME
4:00-5:00am	TIME
baker 	LOCATION
0:00	DATE
I 	0
12:01-2:30pm	TIME
1-2	TIME
day	0
1:21-3:00am	TIME
09:45-10:15	TIME
Circ 	LOCATION
JMc	LOCATION
3:45-5:30am	TIME
17th	DATE
3:45-5:30am	TIME
14:30 PM - 16:30 PM	TIME
of	0
7:8-10:00pm	TIME
5-6	TIME
10:00-12:00	TIME
baker 	LOCATION
tomorrow 	DATE
midterm	0
today	DATE
0:00	TIME
Baker	LOCATION
11:30-13:30	TIME
today	DATE
6-8am	TIME
bAKER	LOCATION
1:21-3:00am	TIME
it	0
6:07-8:09am	TIME
finals	0
8-9	TIME
Sunday 	DATE
happy 	0
on	0
May 	DATE
Saturday 	DATE
07:15 a.m. - 09:15 a.m.	TIME
tomorrow	DATE
2:00-3:00am	TIME
5:00-6:00pm	TIME
11:30-13:30	TIME
take	0
tomorrow	DATE
7:45-10am	TIME
0:00	TIME
circ 	LOCATION
someone	0
circ 	LOCATION
06:00-08:00 am	TIME
07:15 AM - 09:15 AM	TIME
noon-1pm 	TIME
Thursday	DATE
12:12-2:12pm	TIME
10:00 a.m. - 12:00 p.m.	TIME
6:00-7:00pm	TIME
9-10	TIME
23-0 (or 23-24)	TIME
18:00 PM - 20:00 PM	TIME
3:45-5:30am	TIME
sunday 	DATE
8-10pm 	TIME
coming	0
12am-2am	TIME
9:10-11:12am	TIME
today	DATE
Orozco	LOCATION
6:07-8:09am	TIME
20:30 p.m. - 22:30 p.m.	TIME
8:00-9:00pm	TIME
7:45am-10am	TIME
a	0
CIRC	LOCATION
18-19	TIME
12am-2am	TIME
12:00-02:00	TIME
tn!	DATE
all	0
tomorrow	DATE
baker	LOCATION
today	DATE
circ 	LOCATION
3:45-5:00pm	TIME
06:00 PM - 08:00 PM	TIME
0:00	DATE
my	0
jONES	LOCATION
4-6pm	TIME
7:00-8:00am	TIME
5th 	DATE
be	0
12-2am 	TIME
jones	LOCATION
JmC	LOCATION
5:00-6:00am	TIME
06:00 p.m. - 08:00 p.m.	TIME
14:30 p.m. - 16:30 p.m.	TIME
circ 	LOCATION
today	DATE
4-8pm	TIME
19-20	TIME
3:00-4:00pm	TIME
4:5-6:00am	TIME
tonight	DATE
JoNES	LOCATION
19-20	TIME
JMC	LOCATION
1:00-2:00pm	TIME
Orozco 	LOCATION
5-6	TIME
BAKER	LOCATION
JMc	LOCATION
16:15	TIME
10:00 to 12:00	TIME
circ 	LOCATION
friday	DATE
9:10-10:11am	TIME
3to4	TIME
going	0
circ 	LOCATION
Noon-1:00pm	TIME
may 	DATE
circ 	LOCATION
OROZCO	LOCATION
will	0
20th	DATE
let	0
13-14	TIME
All	0
0-1 (or 24-1)	TIME
12:00am-02:00am	TIME
6:00-7:00pm	TIME
circ	LOCATION
Wednesday	DATE
6:00-7:00am	TIME
19:00	TIME
OrOZCO	LOCATION
4-5	TIME
circ	LOCATION
06:00 a.m. - 08:00 a.m.	TIME
tomorrow	DATE
tonight	DATE
of	0
Tonight	DATE
8-9	TIME
orozco	LOCATION
7:45am-10am 	TIME
10:00-12:00	TIME
wednesday 	DATE
10:00-12:00	TIME
today	DATE
 Baker	LOCATION
12a-2a	TIME
and	0
01:30-03:30	TIME
12:00 PM - 1:00 PM	TIME
10:00-11:00am	TIME
baker 	LOCATION
00:30-02:00	TIME
Orozco	LOCATION
05:00 p.m. - 07:30 p.m.	TIME
jmC	LOCATION
06:00 PM - 08:00 PM	TIME
well	0
11-12	TIME
OroZCO	LOCATION
Orozco	LOCATION
0:00	TIME
circ 	LOCATION
today	DATE
9:10-11:12am	TIME
10pm-12am	TIME
07:15 a.m. - 09:15 a.m.	TIME
Best	0
0:00	DATE
orozco 	LOCATION
6:07-8:09pm	TIME
today	DATE
5:00-6:00am	TIME
finals	0
10:00 AM - 12:00 PM	TIME
today	DATE
cIRC	LOCATION
10:00 AM - 12:00 PM	TIME
today	DATE
jMC	LOCATION
7:00-8:00pm	TIME
6:07-8:09pm	TIME
Orozco 	LOCATION
JONES	LOCATION
(this Sunday)	DATE
12:30-1:45pm	TIME
06-08	TIME
tomorrow 	DATE
9:00-10:00am	TIME
Jones	LOCATION
20:30 PM - 22:30 PM	TIME
circ  	LOCATION
Friday 	DATE
12:12-2:12pm	TIME
09:45 a.m. - 10:15 a.m.	TIME
01:30-15:30	TIME
weekend 	DATE
joNES	LOCATION
CirC	LOCATION
1:00-2:00am	TIME
12:00 AM - 02:00 AM	TIME
circ	LOCATION
 6-8pm	TIME
switch	0
03:00-04:00	TIME
12:00 a.m. - 02:00 a.m.	TIME
or	0
12:01-2:30pm	TIME
as	0
15:15-16:45	TIME
can	0
tonight	DATE
18-19	TIME
have	0
12:00	TIME
could	0
18:00-20:00	TIME
Baker  	LOCATION
16:00	TIME
tonight	DATE
06:00-08:00	TIME
06:00-08:00 am	TIME
jones	LOCATION
Saturday 	DATE
6:07-8:09pm	TIME
5-6pm 	TIME
Saturday 	DATE
Jmc	LOCATION
01:30 PM - 03:30 PM	TIME
Orozco 	LOCATION
0-1 (or 24-1)	TIME
Orozco 	LOCATION
2:00-3:00pm	TIME
friday 	DATE
14:30 p.m. - 16:30 p.m.	TIME
10:00-12:00	TIME
JMc	LOCATION
tonight	DATE
Circ 	LOCATION
baker 	LOCATION
CIRC	LOCATION
6-7	TIME
next	0
05:00 PM - 07:30 PM	TIME
portion	0
12:00 a.m. - 02:00 a.m.	TIME
2-4pm	TIME
orozco	LOCATION
14:30 p.m. - 16:30 p.m.	TIME
0:00	TIME
circ	LOCATION
Thursday 	DATE
are	0
OrOZCO	LOCATION
10-midnight 	TIME
10:00 AM - 12:00 PM	TIME
8:00-9:00am	TIME
12-2pm 	TIME
circ 	LOCATION
6:07-8:09am	TIME
orozco	LOCATION
tonight	DATE
0:00	TIME
12:00 p.m. - 13:00 p.m.	TIME
at	0
long	0
01:30 p.m. - 03:30 p.m.	TIME
7-8pm	TIME
6:07-8:09pm	TIME
12:00am-2:00am 	TIME
baker	LOCATION
Baker	LOCATION
12	TIME
07:15 AM - 09:15 AM	TIME
6-8p 	TIME
4-5	TIME
9:10-11:12am	TIME
12:01-2:30pm	TIME
2:00-4:00	TIME
on 	0
9:45	TIME
circ	LOCATION
to	0
So	0
Midnight-1:00am	TIME
10:00to12:00am	TIME
6-10pm	TIME
06-08	TIME
week	DATE
18:00	TIME
2:00-3:00pm	TIME
5:00-6:00am	TIME
6-8p	TIME
1-2pm 	TIME
7:8-10:00pm	TIME
campus	0
 baker 	LOCATION
07:15-09:15	TIME
21:45-23:15	TIME
09:45 p.m. - 11:15 p.m.	TIME
10pm-12am 	TIME
12:30-1:45am	TIME
2-3	TIME
3:45-5:30pm	TIME
jONES	LOCATION
12-2pm 	TIME
07:15 a.m. - 09:15 a.m.	TIME
10:00-12:00	TIME
12-1 pm	TIME
03:15 PM - 04:45 PM	TIME
BAKER	LOCATION
15:15-16:45	TIME
from	0
11:30 a.m. - 01:30 p.m.	TIME
circ 	LOCATION
Orozco 	LOCATION
Orozco	LOCATION
anyone	0
have	0
midterm	0
cover	0
10:00-12:00	TIME
tonight	DATE
18:00-20:00	TIME
CirC	LOCATION
11:30-13:30	TIME
Thursday 	DATE
22-23	TIME
Baker	LOCATION
9:10-11:12pm	TIME
06:00 p.m. - 08:00 p.m.	TIME
10:00 to 12:00 am	TIME
Circ	LOCATION
my 	0
circ 	LOCATION
10:00-11:00am	TIME
9:10-11:12am	TIME
may 	DATE
6 - 7 	TIME
TODAY	DATE
0:00	DATE
09:45 AM - 10:15 AM	TIME
04:45 a.m. - 06:45 a.m.	TIME
01:30 p.m. - 03:30 p.m.	TIME
06:00 AM - 08:00 AM	TIME
Circ 	LOCATION
tomorrow	DATE
am	0
04:45-06:45	TIME
10:00-11:00pm	TIME
2-3	TIME
Circ	LOCATION
circ	LOCATION
20-21	TIME
BAKER	LOCATION
12:00 AM - 02:00 AM	TIME
03:15 PM - 04:45 PM	TIME
6:40	TIME
great	0
shift	0
circ	LOCATION
6:00-7:00 	TIME
April 	DATE
next	0
4:00-5:00pm	TIME
finishing	0
4:5-6:00am	TIME
3:30	TIME
14:30 PM - 16:30 PM	TIME
13-14	TIME
orozco 	LOCATION
1:00-2:00pm	TIME
orOZCO	LOCATION
8:00	TIME
3:00-4:00am	TIME
12noon	TIME
Thurs	DATE
6-8pm	TIME
OROZCO	LOCATION
20:30-22:30	TIME
 tomorrow	DATE
am	0
now 	DATE
14:30-16:30	TIME
Orozco 	LOCATION
tomorrow 	DATE
6:00-7:00am	TIME
0:00	TIME
18:00 p.m. - 20:00 p.m.	TIME
23-0 (or 23-24)	TIME
10:00 a.m. - 12:00 p.m.	TIME
Mary	PERSON
orozco 	LOCATION
circ 	LOCATION
8-10pm 	TIME
to	0
3:45-5:30am	TIME
12-6pm 	TIME
17-18	TIME
Friday	DATE
18:00 p.m. - 20:00 p.m.	TIME
Hope 	0
20:30	TIME
tomorrow	DATE
today	DATE
tomorrow	DATE
12:00 p.m. - 1:00 p.m.	TIME
one	0
Thursday	DATE
5-6p 	TIME
tomorrow	DATE
today	DATE
Noon-1:00pm	TIME
jmc	LOCATION
06:00 AM - 08:00 AM	TIME
06:00 a.m. - 08:00 a.m.	TIME
orozco	LOCATION
18:00 p.m. - 20:00 p.m.	TIME
Hello 	0
2:00-3:00pm	TIME
3-4	TIME
07:15 AM - 09:15 AM	TIME
01:30-03:30 pm	TIME
CiRC	LOCATION
jmC	LOCATION
12-2pm 	TIME
Wednesday	DATE
06:00 p.m. - 08:00 p.m.	TIME
18:00-20:00	TIME
18:00 PM - 20:00 PM	TIME
JONES	LOCATION
noon-1pm 	TIME
12-2pm	TIME
Friday	DATE
7:00-8:00am	TIME
06:00 AM - 08:00 AM	TIME
07:15-09:15	TIME
CIRC	LOCATION
4:00-5:00am	TIME
 circ	LOCATION
CIRC	LOCATION
tomorrow	DATE
12-8pm 	TIME
12-2am 	TIME
04:45 AM - 06:45 AM	TIME
05:00 p.m. - 07:30 p.m.	TIME
oROZCO	LOCATION
that	0
20:30-22:30	TIME
coming	0
circ 	LOCATION
2-4pm	TIME
5:00-6:00pm	TIME
11:30 AM - 01:30 PM	TIME
0:00	DATE
2-3	TIME
03:15 p.m. - 04:45 p.m.	TIME
OROZCO	LOCATION
my 	0
BaKER	LOCATION
8am-10am 	TIME
12pm-2pm	TIME
11:00am-Noon	TIME
part	0
 baker 	LOCATION
orozco 	LOCATION
01:30-03:30	TIME
05:00 p.m. - 07:30 p.m.	TIME
00:30-02:00	TIME
 4-5pm 	TIME
6:07-8:09am	TIME
today 	DATE
JonES	LOCATION
may 	DATE
a	0
shift	0
circ 	LOCATION
as	0
03:15 PM - 04:45 PM	TIME
baker 	LOCATION
12:00 a.m. - 02:00 a.m.	TIME
tomorrow 	DATE
10:00to12:00	TIME
10:00 - 12:00 AM	TIME
tomorrow	DATE
JoNES	LOCATION
12:01-3:00pm	TIME
Baker	LOCATION
6:07-8:09pm	TIME
0:00	TIME
friday	DATE
12:30-1:45pm	TIME
04:45 AM - 06:45 AM	TIME
Baker 	LOCATION
0:00	TIME
JMC	LOCATION
0:00	DATE
20:30	TIME
3:00-4:00pm	TIME
12-4pm	TIME
12-13	TIME
someone	0
17:00-19:30	TIME
to	0
the	0
orozco 	LOCATION
05:00 PM - 07:30 PM	TIME
BaKER	LOCATION
16-17	TIME
orozco	LOCATION
baker 	LOCATION
01:30 p.m. - 03:30 p.m.	TIME
circ 	LOCATION
I 	0
15-16	TIME
09:45 AM - 10:15 AM	TIME
20:30	TIME
8:00-9:00am	TIME
if	0
9:10-10:11am	TIME
9:10-10:11am	TIME
it	0
Baker 	LOCATION
Orozco 	LOCATION
12-13	TIME
17:00-19:30	TIME
Orozco 	LOCATION
6-8pm 	TIME
3:45-5:00pm	TIME
JONES	LOCATION
Wednesday	DATE
9:00-10:00am	TIME
baker 	LOCATION
if	0
9:10-10:11am	TIME
12-2pm	TIME
baker 	LOCATION
12:00-1:00 pm	TIME
Jmc	LOCATION
week	0
10-11 am 	TIME
me	0
orOZCO	LOCATION
Monday 	DATE
BAKER	LOCATION
today 	DATE
6a-8a	TIME
Circ	LOCATION
12:30 AM - 02:00 AM	TIME
14:30 PM - 16:30 PM	TIME
baKER	LOCATION
12:30 a.m. - 02:00 a.m.	TIME
11:00am-Noon	TIME
3:00-4:00pm	TIME
orozco	LOCATION
10:00-11:00am	TIME
10:00-12:00	TIME
today	DATE
from	0
17-18	TIME
7:45am-10am	TIME
ciRC	LOCATION
17th	DATE
 now	DATE
know	0
12-4 pm	TIME
04:45 a.m. - 06:45 a.m.	TIME
I	0
4:5-6:00am	TIME
12:00-13:00	TIME
CIRC	LOCATION
12:00-02:00 am	TIME
11:00pm-Midnight	TIME
5-6pm 	TIME
Baker	LOCATION
12:00-02:00	TIME
today	DATE
orozco 	LOCATION
Circ	LOCATION
7:45-10am	TIME
4-6 pm	TIME
Tuesday	DATE
8:00-9:00am	TIME
will	0
9:10-11:12am	TIME
12:30 a.m. - 02:00 a.m.	TIME
11am-noon	TIME
12-2pm	TIME
9:10-11:12pm	TIME
 baker	LOCATION
04:45-06:45	TIME
tn	DATE
circ 	LOCATION
and	0
Baker 	LOCATION
12-2am	TIME
 Baker 	LOCATION
Orozco 	LOCATION
bAKER	LOCATION
ciRC	LOCATION
12:30-1:45am	TIME
03:15 p.m. - 04:45 p.m.	TIME
cover	0
orozco 	LOCATION
16:15	TIME
this	0
Midnight-1:00am	TIME
06:00 PM - 08:00 PM	TIME
I	0
6p-8p	TIME
bAKER	LOCATION
10am-noon 	TIME
09:45-10:15 am	TIME
10:00 - 12:00	TIME
orozco 	LOCATION
12:00 PM - 13:00 PM	TIME
3:00-4:00am	TIME
6:07-8:09pm	TIME
20:30 PM - 22:30 PM	TIME
Thursday 	DATE
Tuesday	DATE
Jones	LOCATION
4:15	TIME
7-8	TIME
leaving	0
jMc	LOCATION
0:00	TIME
12pm-2pm	TIME
21-22	TIME
14:30-16:30	TIME
Orozco 	LOCATION
BAKER	LOCATION
09:45-10:15	TIME
would	0
10:00-11:00pm	TIME
Friday	DATE
04:45 AM - 06:45 AM	TIME
shift	0
BAKER	LOCATION
12-1pm	TIME
 orozco 	LOCATION
11:30 AM - 01:30 PM	TIME
4:00-5:00pm	TIME
10:00 a.m. - 12:00 p.m.	TIME
Tuesday	DATE
4-5 pm	TIME
09:45 AM - 10:15 AM	TIME
stay	0
11:30 a.m. - 01:30 p.m.	TIME
9:10-10:11am	TIME
to	0
6:07-8:09am	TIME
11am-12 pm 	TIME
shift	0
4:23	TIME
JmC	LOCATION
I 	0
Orozco	LOCATION
10-11	TIME
JonES	LOCATION
circ 	LOCATION
Baker	LOCATION
12:30-1:45pm	TIME
05:00 PM - 07:30 PM	TIME
09:45 PM - 11:15 PM	TIME
09:45 a.m. - 10:15 a.m.	TIME
tomorrow 	DATE
circ	LOCATION
06:00-08:00	TIME
from	0
11:30 AM - 01:30 PM	TIME
OROZCO	LOCATION
 2to3pm	TIME
7:00-8:00am	TIME
4-6pm	TIME
baker 	LOCATION
jMc	LOCATION
Please	0
10:00 - 12:00	TIME
10:00 AM - 12:00 PM	TIME
BakER	LOCATION
10:00 a.m. - 12:00 p.m.	TIME
11:00am-Noon	TIME
09:45 PM - 11:15 PM	TIME
oROZCO	LOCATION
12:30-1:45am	TIME
wednesday	DATE
0:00	TIME
Thursday 	DATE
21:45-23:15	TIME
jONES	LOCATION
12:00 AM - 02:00 AM	TIME
10:00 a.m. - 12:00 p.m.	TIME
01:30 PM - 03:30 PM	TIME
10:00 to 12:00 am	TIME
Jones	LOCATION
Friday	DATE
8-10pm 	TIME
Jmc	LOCATION
OROZCO	LOCATION
8:00-9:00pm	TIME
orozco 	LOCATION
11-12	TIME
09:45 p.m. - 11:15 p.m.	TIME
tn	DATE
06:00pm-08:00pm	TIME
01:30 PM - 03:30 PM	TIME
12:12-2:12pm	TIME
Today	DATE
7:45-10am 	TIME
22-23	TIME
baker	LOCATION
CIRC	LOCATION
its 	0
9:10-11:12am	TIME
1:00-2:00am	TIME
09:45 AM - 10:15 AM	TIME
Saturday	DATE
orozco	LOCATION
cIRC	LOCATION
9:00-10:00pm	TIME
0:00	TIME
7:45-10am 	TIME
09:45 a.m. - 10:15 a.m.	TIME
0:00	TIME
joNES	LOCATION
12:30 AM - 02:00 AM	TIME
16-17	TIME
04:45 a.m. - 06:45 a.m.	TIME
baker	LOCATION
21-22	TIME
06:00-08:00 pm	TIME
from	0
10:00	TIME
09:45 PM - 11:15 PM	TIME
06:00 a.m. - 08:00 a.m.	TIME
14-15	TIME
today	DATE
cIRC	LOCATION
0:00	DATE
baKER	LOCATION
tomorrow 	DATE
circ	LOCATION
2-4pm	TIME
Orozco 	LOCATION
20:15	TIME
OROZCO	LOCATION
6:00-7:00am	TIME
saturday	DATE
circ 	LOCATION
6-10pm 	TIME
10:00 to 12:00	TIME
20th	DATE
20:30 p.m. -	TIME
4:30-6pm 	TIME
10	TIME
01:30 p.m. - 15:30 p.m.	TIME
Noon-1:00pm	TIME
8-9pm 	TIME
3:45-5:30pm	TIME
04:45-06:45 am	TIME
12-02	TIME
oROZCO	LOCATION
17:00-19:30	TIME
tomorrow 	DATE
I	0
3:45-5:30pm	TIME
06:00 a.m. - 08:00 a.m.	TIME
today	DATE
0:00	DATE
20:30	TIME
5-6pm 	TIME
12-1pm 	TIME
this	0
9:10-10:11am	TIME
there	0
06:00 p.m. - 08:00 p.m.	TIME
03:15 p.m. - 04:45 p.m.	TIME
11:30 a.m. - 01:30 p.m.	TIME
18:00 PM - 20:00 PM	TIME
JONES	LOCATION
today	DATE
Circ 	LOCATION
after	0
2:00-3:00am	TIME
happy	0
would 	0
0:00	TIME
6-7	TIME
Circ 	LOCATION
orozco	LOCATION
today	DATE
jones	LOCATION
7:8-10:00pm	TIME
9:10-11:12pm	TIME
12-13	TIME
Friday 	DATE
great	0
12:00-1:00pm	TIME
6:07-8:09am	TIME
7:00-8:00pm	TIME
2:00-3:00am	TIME
3:45-5:00pm	TIME